Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
Heat stress evaluation and worker fatigue in a steel plant.,/pubmed/12809541,"Chen ML, Chen CJ, Yeh WY, Huang JW, Mao IF.","AIHA J (Fairfax, Va). 2003 May-Jun;64(3):352-9.","AIHA J (Fairfax, Va).  2003",PubMed,citation,PMID:12809541,pubmed,12809541,create date:2003/06/18 | first author:Chen ML
"Associations between fatigue attributions and fatigue, health, and psychosocial work characteristics: a study among employees visiting a physician with fatigue.",/pubmed/12782755,"Andrea H, Kant IJ, Beurskens AJ, Metsemakers JF, Van Schayck CP.",Occup Environ Med. 2003 Jun;60 Suppl 1:i99-104.,Occup Environ Med.  2003,PubMed,citation,PMID:12782755 | PMCID:PMC1765717,pubmed,12782755,create date:2003/06/05 | first author:Andrea H
Fatigue in employees with diabetes: its relation with work characteristics and diabetes related burden.,/pubmed/12782754,"Weijman I, Ros WJ, Rutten GE, Schaufeli WB, Schabracq MJ, Winnubst JA.",Occup Environ Med. 2003 Jun;60 Suppl 1:i93-8.,Occup Environ Med.  2003,PubMed,citation,PMID:12782754 | PMCID:PMC1765719,pubmed,12782754,create date:2003/06/05 | first author:Weijman I
Fatigue as a risk factor for being injured in an occupational accident: results from the Maastricht Cohort Study.,/pubmed/12782753,"Swaen GM, Van Amelsvoort LG, Bültmann U, Kant IJ.",Occup Environ Med. 2003 Jun;60 Suppl 1:i88-92.,Occup Environ Med.  2003,PubMed,citation,PMID:12782753 | PMCID:PMC1765730,pubmed,12782753,create date:2003/06/05 | first author:Swaen GM
Fatigue as a predictor of sickness absence: results from the Maastricht cohort study on fatigue at work.,/pubmed/12782750,"Janssen N, Kant IJ, Swaen GM, Janssen PP, Schröer CA.",Occup Environ Med. 2003 Jun;60 Suppl 1:i71-6.,Occup Environ Med.  2003,PubMed,citation,PMID:12782750 | PMCID:PMC1765725,pubmed,12782750,create date:2003/06/05 | first author:Janssen N
Need for recovery from work related fatigue and its role in the development and prediction of subjective health complaints.,/pubmed/12782749,"Sluiter JK, de Croon EM, Meijman TF, Frings-Dresen MH.",Occup Environ Med. 2003 Jun;60 Suppl 1:i62-70.,Occup Environ Med.  2003,PubMed,citation,PMID:12782749 | PMCID:PMC1765724,pubmed,12782749,create date:2003/06/05 | first author:Sluiter JK
Work schedules and fatigue: a prospective cohort study.,/pubmed/12782747,"Jansen NW, van Amelsvoort LG, Kristensen TS, van den Brandt PA, Kant IJ.",Occup Environ Med. 2003 Jun;60 Suppl 1:i47-53.,Occup Environ Med.  2003,PubMed,citation,PMID:12782747 | PMCID:PMC1765732,pubmed,12782747,create date:2003/06/05 | first author:Jansen NW
Fatigue at work.,/pubmed/12782739,"Van Dijk FJ, Swaen GM.",Occup Environ Med. 2003 Jun;60 Suppl 1:i1-2. No abstract available. ,Occup Environ Med.  2003,PubMed,citation,PMID:12782739 | PMCID:PMC1765722,pubmed,12782739,create date:2003/06/05 | first author:Van Dijk FJ
"Posture, muscle activity and muscle fatigue in prolonged VDT work at different screen height settings.",/pubmed/12745683,"Seghers J, Jochem A, Spaepen A.",Ergonomics. 2003 Jun 10;46(7):714-30.,Ergonomics.  2003,PubMed,citation,PMID:12745683,pubmed,12745683,create date:2003/05/15 | first author:Seghers J
Fatigue after work in noise - an epidemiological survey study and three quasi-experimental field studies.,/pubmed/12689367,"Kjellberg A, Muhr P, Sköldström B.",Noise Health. 1998;1(1):47-55.,Noise Health.  1998,PubMed,citation,PMID:12689367,pubmed,12689367,create date:2003/04/12 | first author:Kjellberg A
"Financial, occupational, and personal consequences of disability in patients with chronic fatigue syndrome and fibromyalgia compared to other fatiguing conditions.",/pubmed/12672203,"Assefi NP, Coy TV, Uslan D, Smith WR, Buchwald D.",J Rheumatol. 2003 Apr;30(4):804-8.,J Rheumatol.  2003,PubMed,citation,PMID:12672203,pubmed,12672203,create date:2003/04/03 | first author:Assefi NP
Associations between infections and fatigue in a Dutch working population: results of the Maastricht Cohort Study on Fatigue at Work.,/pubmed/12530766,"Mohren DC, Swaen GM, Kant IJ, Borm PJ, Galama JM.",Eur J Epidemiol. 2001;17(12):1081-7.,Eur J Epidemiol.  2001,PubMed,citation,PMID:12530766,pubmed,12530766,create date:2003/01/18 | first author:Mohren DC
Position sense acuity is diminished following repetitive low-intensity work to fatigue in a simulated occupational setting: a critical comment.,/pubmed/12527983,"Björklund M, Crenshaw AG, Djupsjöbacka M, Johansson H.",Eur J Appl Physiol. 2003 Jan;88(4-5):485-6. Epub 2002 Nov 15. No abstract available. ,Eur J Appl Physiol.  2003,PubMed,citation,PMID:12527983,pubmed,12527983,create date:2003/01/16 | first author:Björklund M
"An occupational therapy approach to persons with chronic fatigue syndrome: part two, assessment and intervention.",/pubmed/23944638,"Taylor RR, Kielhofner GW.",Occup Ther Health Care. 2003;17(2):63-87. doi: 10.1080/J003v17n02_05.,Occup Ther Health Care.  2003,PubMed,citation,PMID:23944638,pubmed,23944638,create date:2003/01/01 | first author:Taylor RR
"An approach to persons with chronic fatigue syndrome based on the model of human occupation: part one, impact on occupational performance and participation.",/pubmed/23944637,"Taylor RR, Kielhofner GW, Abelenda J, Colantuono K, Fong T, Heredia R, Kulkarni S, Vazquez E.",Occup Ther Health Care. 2003;17(2):47-61. doi: 10.1080/J003v17n02_04.,Occup Ther Health Care.  2003,PubMed,citation,PMID:23944637,pubmed,23944637,create date:2003/01/01 | first author:Taylor RR
"The implications of the adaptable fatigue quality of tendons for their construction, repair and function.",/pubmed/12485688,Ker RF.,Comp Biochem Physiol A Mol Integr Physiol. 2002 Dec;133(4):987-1000. Review.,Comp Biochem Physiol A Mol Integr Physiol.  2002,PubMed,citation,PMID:12485688,pubmed,12485688,create date:2002/12/18 | first author:Ker RF
Quantification of cumulated physical fatigue at the workplace.,/pubmed/12457247,"Pichot V, Bourin E, Roche F, Garet M, Gaspoz JM, Duverney D, Antoniadis A, Lacour JR, Barthélémy JC.",Pflugers Arch. 2002 Nov;445(2):267-72. Epub 2002 Sep 18.,Pflugers Arch.  2002,PubMed,citation,PMID:12457247,pubmed,12457247,create date:2002/11/29 | first author:Pichot V
[Elaboration of a conceptual frame to explain fatigue secondary to a health difficulty and implications for nursing practice].,/pubmed/12385192,"Patenaude H, Gélinas C, Vandal S, Fillion L.",Rech Soins Infirm. 2002 Sep;(70):66-81. Review. French. ,Rech Soins Infirm.  2002,PubMed,citation,PMID:12385192,pubmed,12385192,create date:2002/10/19 | first author:Patenaude H
Fatigue as a predictor of work disability.,/pubmed/12356934,"van Amelsvoort LG, Kant IJ, Beurskens AJ, Schröer CA, Swaen GM.",Occup Environ Med. 2002 Oct;59(10):712-3.,Occup Environ Med.  2002,PubMed,citation,PMID:12356934 | PMCID:PMC1740224,pubmed,12356934,create date:2002/10/03 | first author:van Amelsvoort LG
Work and fatigue characteristics of unsuited and suited humans during isolated isokinetic joint motions.,/pubmed/12167203,"Gonzalez LJ, Maida JC, Miles EH, Rajulu SL, Pandya AK.",Ergonomics. 2002 Jun 10;45(7):484-500.,Ergonomics.  2002,PubMed,citation,PMID:12167203,pubmed,12167203,create date:2002/08/09 | first author:Gonzalez LJ
"The effects of work pace on within-participant and between-participant keying force, electromyography, and fatigue.",/pubmed/12118873,"Gerard MJ, Armstrong TJ, Martin BJ, Rampel DA.",Hum Factors. 2002 Spring;44(1):51-61.,Hum Factors.  2002,PubMed,citation,PMID:12118873,pubmed,12118873,create date:2002/07/18 | first author:Gerard MJ
Pain and fatigue management: results of a nursing randomized clinical trial.,/pubmed/12096292,"Given B, Given CW, McCorkle R, Kozachik S, Cimprich B, Rahbar MH, Wojcik C.",Oncol Nurs Forum. 2002 Jul;29(6):949-56.,Oncol Nurs Forum.  2002,PubMed,citation,PMID:12096292,pubmed,12096292,create date:2002/07/04 | first author:Given B
Chronic fatigue among bank workers in Brazil.,/pubmed/12091584,"de Fatima Marinho de Souza M, Messing K, Menezes PR, Cho HJ.",Occup Med (Lond). 2002 Jun;52(4):187-94.,Occup Med (Lond).  2002,PubMed,citation,PMID:12091584,pubmed,12091584,create date:2002/07/02 | first author:de Fatima Marinho de Souza M
Construction and validation of a fatigue impact scale for daily administration (D-FIS).,/pubmed/12074263,"Fisk JD, Doble SE.",Qual Life Res. 2002 May;11(3):263-72.,Qual Life Res.  2002,PubMed,citation,PMID:12074263,pubmed,12074263,create date:2002/06/21 | first author:Fisk JD
"Job stress, fatigue, and job dissatisfaction in Dutch lorry drivers: towards an occupation specific model of job demands and control.",/pubmed/12040108,"de Croon EM, Blonk RW, de Zwart BC, Frings-Dresen MH, Broersen JP.",Occup Environ Med. 2002 Jun;59(6):356-61.,Occup Environ Med.  2002,PubMed,citation,PMID:12040108 | PMCID:PMC1740302,pubmed,12040108,create date:2002/06/01 | first author:de Croon EM
The relationship between psychosocial work characteristics and fatigue and psychological distress.,/pubmed/11981660,"Bültmann U, Kant IJ, Schröer CA, Kasl SV.",Int Arch Occup Environ Health. 2002 Apr;75(4):259-66. Epub 2001 Nov 16.,Int Arch Occup Environ Health.  2002,PubMed,citation,PMID:11981660,pubmed,11981660,create date:2002/05/01 | first author:Bültmann U
[On-screen work and visual fatigue and its course after ophthalmologic management].,/pubmed/11913234,"Speeg-Schatz C, Hansmaennel G, Gottenkiene S, Tondre M.",J Fr Ophtalmol. 2001 Dec;24(10):1045-52. French. ,J Fr Ophtalmol.  2001,PubMed,citation,PMID:11913234,pubmed,11913234,create date:2002/03/27 | first author:Speeg-Schatz C
Psychosocial work characteristics as risk factors for the onset of fatigue and psychological distress: prospective results from the Maastricht Cohort Study.,/pubmed/11871373,"Bültmann U, Kant IJ, Van den Brandt PA, Kasl SV.",Psychol Med. 2002 Feb;32(2):333-45.,Psychol Med.  2002,PubMed,citation,PMID:11871373,pubmed,11871373,create date:2002/03/02 | first author:Bültmann U
[Tests of auditory fatigue and their possible use in the prevention of occupational hypoacusia: apropos of a clinical case].,/pubmed/11822308,"Perria M, Moscolin M, Pardini L, Bonsignore AD, Cervoni E, Salami A.",G Ital Med Lav Ergon. 2001 Oct-Dec;23(4 Suppl):89-95. Italian.  No abstract available. ,G Ital Med Lav Ergon.  2001,PubMed,citation,PMID:11822308,pubmed,11822308,create date:2002/02/02 | first author:Perria M
Transient improvement induced by motor fatigue in focal occupational dystonia: the handgrip test.,/pubmed/11748750,"Pesenti A, Priori A, Scarlato G, Barbieri S.",Mov Disord. 2001 Nov;16(6):1143-7.,Mov Disord.  2001,PubMed,citation,PMID:11748750,pubmed,11748750,create date:2001/12/19 | first author:Pesenti A
Combined effect of repetitive work and cold on muscle function and fatigue.,/pubmed/11744678,"Oksa J, Ducharme MB, Rintamäki H.",J Appl Physiol (1985). 2002 Jan;92(1):354-61.,J Appl Physiol (1985).  2002,PubMed,citation,PMID:11744678,pubmed,11744678,create date:2001/12/18 | first author:Oksa J
Differences in fatigue and psychological distress across occupations: results from the Maastricht Cohort Study of Fatigue at Work.,/pubmed/11725338,"Bültmann U, Kant I, van Amelsvoort LG, van den Brandt PA, Kasl SV.",J Occup Environ Med. 2001 Nov;43(11):976-83.,J Occup Environ Med.  2001,PubMed,citation,PMID:11725338,pubmed,11725338,create date:2001/12/01 | first author:Bültmann U
Fatigue and endurance limits during intermittent overhead work.,/pubmed/11549138,"Nussbaum MA, Clark LL, Lanza MA, Rice KM.",AIHAJ. 2001 Jul-Aug;62(4):446-56.,AIHAJ.  2001,PubMed,citation,PMID:11549138,pubmed,11549138,create date:2001/09/11 | first author:Nussbaum MA
Evaluation of physiological work demands and low back neuromuscular fatigue on nurses working in geriatric wards.,/pubmed/11534793,"Hui L, Ng GY, Yeung SS, Hui-Chan CW.",Appl Ergon. 2001 Oct;32(5):479-83.,Appl Ergon.  2001,PubMed,citation,PMID:11534793,pubmed,11534793,create date:2001/09/06 | first author:Hui L
"[Occupational stress, suicide and fatigue depression].",/pubmed/11478215,Ferrada-Noli M.,Lakartidningen. 2001 Jun 27;98(26-27):3158-60. Swedish.  No abstract available. ,Lakartidningen.  2001,PubMed,citation,PMID:11478215,pubmed,11478215,create date:2001/08/02 | first author:Ferrada-Noli M
A quantitative model of work-related fatigue: empirical evaluations.,/pubmed/11345491,"Fletcher A, Dawson D.",Ergonomics. 2001 Apr 15;44(5):475-88.,Ergonomics.  2001,PubMed,citation,PMID:11345491,pubmed,11345491,create date:2001/05/10 | first author:Fletcher A
Spontaneous blinks as a criterion of visual fatigue during prolonged work on visual display terminals.,/pubmed/11322590,"Kaneko K, Sakamoto K.",Percept Mot Skills. 2001 Feb;92(1):234-50.,Percept Mot Skills.  2001,PubMed,citation,PMID:11322590,pubmed,11322590,create date:2001/04/27 | first author:Kaneko K
"Occupational fatigue and preterm premature rupture of membranes. National Institute of Child Health and Human Development Maternal-Fetal Medicine, Units Network.",/pubmed/11228500,"Newman RB, Goldenberg RL, Moawad AH, Iams JD, Meis PJ, Das A, Miodovnik M, Caritis SN, Thurnau GR, Dombrowski MP, Roberts J; National Institute of Child Health and Human Development Maternal-Fetal Medicine Units Network..",Am J Obstet Gynecol. 2001 Feb;184(3):438-46.,Am J Obstet Gynecol.  2001,PubMed,citation,PMID:11228500,pubmed,11228500,create date:2001/03/03 | first author:Newman RB
A quantitative model of work-related fatigue: background and definition.,/pubmed/11209874,"Dawson D, Fletcher A.",Ergonomics. 2001 Feb 10;44(2):144-63.,Ergonomics.  2001,PubMed,citation,PMID:11209874,pubmed,11209874,create date:2001/02/24 | first author:Dawson D
Fatigue and work in pregnancy.,/pubmed/11128412,"Bialobok KM, Monga M.",Curr Opin Obstet Gynecol. 2000 Dec;12(6):497-500. Review.,Curr Opin Obstet Gynecol.  2000,PubMed,citation,PMID:11128412,pubmed,11128412,create date:2000/12/29 | first author:Bialobok KM
Feminist perspectives on the social construction of chronic fatigue syndrome.,/pubmed/11111464,"Richman JA, Jason LA, Taylor RR, Jahn SC.",Health Care Women Int. 2000 Apr-May;21(3):173-85. Review.,Health Care Women Int.  2000,PubMed,citation,PMID:11111464,pubmed,11111464,create date:2000/12/09 | first author:Richman JA
[Physiological mechanisms of the etiology of visual fatigue during work involving visual stress].,/pubmed/11031876,Korniushina TA.,Vestn Oftalmol. 2000 Jul-Aug;116(4):33-6. Russian. ,Vestn Oftalmol.  2000,PubMed,citation,PMID:11031876,pubmed,11031876,create date:2000/10/14 | first author:Korniushina TA
[Construction of a subjective fatigue scale for adolescent students].,/pubmed/11020970,"Kobayashi H, Demura S, Goshi F, Sato S, Noda M.",Nihon Koshu Eisei Zasshi. 2000 Aug;47(8):638-46. Japanese. ,Nihon Koshu Eisei Zasshi.  2000,PubMed,citation,PMID:11020970,pubmed,11020970,create date:2000/10/06 | first author:Kobayashi H
"Chronic fatigue syndrome: occupation, medical utilization, and subtypes in a community-based sample.",/pubmed/11009329,"Jason LA, Taylor RR, Kennedy CL, Song S, Johnson D, Torres S.",J Nerv Ment Dis. 2000 Sep;188(9):568-76.,J Nerv Ment Dis.  2000,PubMed,citation,PMID:11009329,pubmed,11009329,create date:2000/09/29 | first author:Jason LA
Hours of work and fatigue-related error: a survey of New Zealand anaesthetists.,/pubmed/10788970,"Gander PH, Merry A, Millar MM, Weller J.",Anaesth Intensive Care. 2000 Apr;28(2):178-83.,Anaesth Intensive Care.  2000,PubMed,citation,PMID:10788970,pubmed,10788970,create date:2000/05/02 | first author:Gander PH
Position sense acuity is diminished following repetitive low-intensity work to fatigue in a simulated occupational setting.,/pubmed/10751096,"Björklund M, Crenshaw AG, Djupsjöbacka M, Johansson H.",Eur J Appl Physiol. 2000 Mar;81(5):361-7.,Eur J Appl Physiol.  2000,PubMed,citation,PMID:10751096,pubmed,10751096,create date:2000/04/06 | first author:Björklund M
"The Chronic Fatigue Twin Registry: method of construction, composition, and zygosity assignment.",/pubmed/10555131,"Buchwald D, Herrell R, Ashton S, Belcourt M, Schmaling K, Goldberg J.",Twin Res. 1999 Sep;2(3):203-11.,Twin Res.  1999,PubMed,citation,PMID:10555131,pubmed,10555131,create date:1999/11/11 | first author:Buchwald D
[Relief of visual fatigue in visual strain-related work].,/pubmed/10526474,"Ushkova IN, Mal'kova NIu, Pokrovskaia LA.",Med Tr Prom Ekol. 1999;(9):14-6. Russian. ,Med Tr Prom Ekol.  1999,PubMed,citation,PMID:10526474,pubmed,10526474,create date:1999/10/20 | first author:Ushkova IN
"[Work conditions, labor fatigue and low birth weight among street vendors].",/pubmed/10343513,"Hernández-Peña P, Kageyama ML, Coria I, Hernández B, Harlow S.",Salud Publica Mex. 1999 Mar-Apr;41(2):101-9. Spanish. ,Salud Publica Mex.  1999,PubMed,citation,PMID:10343513,pubmed,10343513,create date:1999/05/27 | first author:Hernández-Peña P
Fatigability of motor units estimated by changes in work performed during their repetitive stimulation during the fatigue test.,/pubmed/10230075,"Celichowski J, Grottel K, Bichler E.",Acta Neurobiol Exp (Wars). 1999;59(1):37-43.,Acta Neurobiol Exp (Wars).  1999,PubMed,citation,PMID:10230075,pubmed,10230075,create date:1999/05/07 | first author:Celichowski J
[Chronic fatigue in workers--an index for risk assessment].,/pubmed/10199071,Sorokin GA.,Gig Sanit. 1999 Jan-Feb;(1):21-5. Russian.  No abstract available. ,Gig Sanit.  1999,PubMed,citation,PMID:10199071,pubmed,10199071,create date:1999/04/13 | first author:Sorokin GA
Maternal fatigue: implications of second stage labor nursing care.,/pubmed/10102545,"Mayberry LJ, Gennaro S, Strange L, Williams M, De A.",J Obstet Gynecol Neonatal Nurs. 1999 Mar-Apr;28(2):175-81. Review.,J Obstet Gynecol Neonatal Nurs.  1999,PubMed,citation,PMID:10102545,pubmed,10102545,create date:1999/04/02 | first author:Mayberry LJ
"Chronic fatigue syndrome, chronic fatigue, and psychiatric disorders: predictors of functional status in a national nursing sample.",/pubmed/10100114,"Wagner-Raphael LI, Jason LA, Ferrari JR.",J Occup Health Psychol. 1999 Jan;4(1):63-71.,J Occup Health Psychol.  1999,PubMed,citation,PMID:10100114,pubmed,10100114,create date:1999/04/01 | first author:Wagner-Raphael LI
Chronic fatigue syndrome among overseas development workers: A qualitative study.,/pubmed/10071368,Lovell DM.,J Travel Med. 1999 Mar;6(1):16-23.,J Travel Med.  1999,PubMed,citation,PMID:10071368,pubmed,10071368,create date:1999/03/10 | first author:Lovell DM
"[The integral assessment of subject symptoms for detecting chronic visual, motor and nonspecific fatigue in workers].",/pubmed/9885497,Sorokin GA.,Med Tr Prom Ekol. 1998;(11):15-9. Russian. ,Med Tr Prom Ekol.  1998,PubMed,citation,PMID:9885497,pubmed,9885497,create date:1999/01/14 | first author:Sorokin GA
Work schedule and task factors in upper-extremity fatigue.,/pubmed/9579109,"Rosa RR, Bonnet MH, Cole LL.",Hum Factors. 1998 Mar;40(1):150-8.,Hum Factors.  1998,PubMed,citation,PMID:9579109,pubmed,9579109,create date:1998/05/14 | first author:Rosa RR
Outcomes of occupational stressors on nurses: chronic fatigue syndrome--related symptoms.,/pubmed/9397874,"Wagner LI, Jason LA.",Nursingconnections. 1997 Fall;10(3):41-9.,Nursingconnections.  1997,PubMed,citation,PMID:9397874,pubmed,9397874,create date:1997/12/16 | first author:Wagner LI
[Nurses' work situation--increased fatigue and reduced commitment].,/pubmed/9386636,"Lagerström M, Tjernberg G, Ekeberg C, Hagberg M, Josephson M.",Vardfacket. 1997 Sep 8;21(8):32-4. Swedish.  No abstract available. ,Vardfacket.  1997,PubMed,citation,PMID:9386636,pubmed,9386636,create date:1997/12/05 | first author:Lagerström M
Managing fatigue in operational settings 2: An integrated approach.,/pubmed/10179058,"Rosekind MR, Gander PH, Gregory KB, Smith RM, Miller DL, Oyung R, Webbon LL, Johnson JM.",Hosp Top. 1997 Summer;75(3):31-5. No abstract available. ,Hosp Top.  1997,PubMed,citation,PMID:10179058,pubmed,10179058,create date:1997/07/01 | first author:Rosekind MR
Managing fatigue in operational settings 1: Physiological considerations and counter-measures.,/pubmed/10179057,"Rosekind MR, Gander PH, Gregory KB, Smith RM, Miller DL, Oyung R, Webbon LL, Johnson JM.",Hosp Top. 1997 Summer;75(3):23-30. No abstract available. ,Hosp Top.  1997,PubMed,citation,PMID:10179057,pubmed,10179057,create date:1997/07/01 | first author:Rosekind MR
"Fatigue in the workforce of National Health Service Trusts: levels of symptomatology and links with minor psychiatric disorder, demographic, occupational and work role factors.",/pubmed/9263934,"Hardy GE, Shapiro DA, Borrill CS.",J Psychosom Res. 1997 Jul;43(1):83-92.,J Psychosom Res.  1997,PubMed,citation,PMID:9263934,pubmed,9263934,create date:1997/07/01 | first author:Hardy GE
"Hours of work, and perceptions of fatigue among truck drivers.",/pubmed/9248505,"Arnold PK, Hartley LR, Corry A, Hochstadt D, Penna F, Feyer AM.",Accid Anal Prev. 1997 Jul;29(4):471-7.,Accid Anal Prev.  1997,PubMed,citation,PMID:9248505,pubmed,9248505,create date:1997/07/01 | first author:Arnold PK
Effect of work glove and type of muscle action on grip fatigue.,/pubmed/9174412,"Fleming SL, Jansen CW, Hasson SM.",Ergonomics. 1997 Jun;40(6):601-12.,Ergonomics.  1997,PubMed,citation,PMID:9174412,pubmed,9174412,create date:1997/06/01 | first author:Fleming SL
Chronic fatigue syndrome and occupational health.,/pubmed/9231495,"Mounstephen A, Sharpe M.",Occup Med (Lond). 1997 May;47(4):217-27. Review.,Occup Med (Lond).  1997,PubMed,citation,PMID:9231495,pubmed,9231495,create date:1997/05/01 | first author:Mounstephen A
Minimizing fatigue during repetitive jobs: optimal work-rest schedules.,/pubmed/9302881,"Wood DD, Fisher DL, Andres RO.",Hum Factors. 1997 Mar;39(1):83-101.,Hum Factors.  1997,PubMed,citation,PMID:9302881,pubmed,9302881,create date:1997/03/01 | first author:Wood DD
Alertness-enhancing drugs as a countermeasure to fatigue in irregular work hours.,/pubmed/9095375,"Akerstedt T, Ficca G.",Chronobiol Int. 1997 Mar;14(2):145-58. Review.,Chronobiol Int.  1997,PubMed,citation,PMID:9095375,pubmed,9095375,create date:1997/03/01 | first author:Akerstedt T
Evaluation of forearm fatigue during EVA pressure glove work.,/pubmed/24441854,"Roy SH, O'Hara JM.",Work. 1997;8(2):157-69. doi: 10.3233/WOR-1997-8206.,Work.  1997,PubMed,citation,PMID:24441854,pubmed,24441854,create date:1997/01/01 | first author:Roy SH
"Fatigue of mouse soleus muscle, using the work loop technique.",/pubmed/9344980,"Askew GN, Young IS, Altringham JD.",J Exp Biol. 1997 Nov;200(Pt 22):2907-12.,J Exp Biol.  1997,PubMed,citation,PMID:9344980,pubmed,9344980,create date:1997/01/01 | first author:Askew GN
Fatigue after eccentric quadriceps femoris work produces earlier gastrocnemius and delayed quadriceps femoris activation during crossover cutting among normal athletic women.,/pubmed/9335028,"Nyland JA, Caborn DN, Shapiro R, Johnson DL.",Knee Surg Sports Traumatol Arthrosc. 1997;5(3):162-7.,Knee Surg Sports Traumatol Arthrosc.  1997,PubMed,citation,PMID:9335028,pubmed,9335028,create date:1997/01/01 | first author:Nyland JA
[Eye fatigue during work with computer monitors].,/pubmed/9312661,"Salomon E, Borodulin-Nadzieja L, Janocha A.",Med Pr. 1997;48(3):341-6. Review. Polish.  No abstract available. ,Med Pr.  1997,PubMed,citation,PMID:9312661,pubmed,9312661,create date:1997/01/01 | first author:Salomon E
Detection of RNA sequences in cultures of a stealth virus isolated from the cerebrospinal fluid of a health care worker with chronic fatigue syndrome. Case report.,/pubmed/9200191,Martin WJ.,Pathobiology. 1997;65(1):57-60.,Pathobiology.  1997,PubMed,citation,PMID:9200191,pubmed,9200191,create date:1997/01/01 | first author:Martin WJ
A study of complaints of fatigue by workers employed in Vietnamese factories with newly imported technology.,/pubmed/9009497,"Matsuda S, Luong NA, Hoai NV, Thung DH, Trinh LV, Cong NT, Hien HM, Dat PH, Tri DD.",Ind Health. 1997;35(1):16-28.,Ind Health.  1997,PubMed,citation,PMID:9009497,pubmed,9009497,create date:1997/01/01 | first author:Matsuda S
The impact of work practices on fatigue in long distance truck drivers.,/pubmed/9006639,"Williamson AM, Feyer AM, Friswell R.",Accid Anal Prev. 1996 Nov;28(6):709-19.,Accid Anal Prev.  1996,PubMed,citation,PMID:9006639,pubmed,9006639,create date:1996/11/01 | first author:Williamson AM
[Occupational and lifestyle factors related to musculoskeletal and fatigue symptoms among middle-aged female workers in a frozen food processing factory].,/pubmed/8936619,"Mizoue T, Nishisaka S, Nishikuma K, Yoshimura T.",Sangyo Eiseigaku Zasshi. 1996 Sep;38(5):223-9. Japanese. ,Sangyo Eiseigaku Zasshi.  1996,PubMed,citation,PMID:8936619,pubmed,8936619,create date:1996/09/01 | first author:Mizoue T
[Study on changes of visual fatigue index during prolonged visual display terminal operation].,/pubmed/11539913,"Liao G, Cao P, Zhong H.",Space Med Med Eng (Beijing). 1996 Aug;9(4):281-5. Chinese. ,Space Med Med Eng (Beijing).  1996,PubMed,citation,PMID:11539913,pubmed,11539913,create date:1996/08/01 | first author:Liao G
An initial evaluation of work fatigue and circadian changes as assessed by multiplate posturography.,/pubmed/8724927,"Kohen-Raz R, Himmelfarb M, Tzur S, Kohen-Raz A, Shub Y.",Percept Mot Skills. 1996 Apr;82(2):547-57.,Percept Mot Skills.  1996,PubMed,citation,PMID:8724927,pubmed,8724927,create date:1996/04/01 | first author:Kohen-Raz R
[Diagnosis and nursing care of postoperative fatigue].,/pubmed/8716761,Yang XQ.,Zhonghua Hu Li Za Zhi. 1996 Feb;31(2):116-7. Chinese.  No abstract available. ,Zhonghua Hu Li Za Zhi.  1996,PubMed,citation,PMID:8716761,pubmed,8716761,create date:1996/02/01 | first author:Yang XQ
"[The relation of dental examination results at corporation offices to occupation, subjective symptoms of fatigue and daily lifestyle--an investigation based on the number of missing teeth].",/pubmed/8909560,"Oda M, Sawamura Y, Yatagai T, Kuse S, Kotaku Y, Moriue Y, Toyoda S, Ishii M, Sekino K.",Sangyo Eiseigaku Zasshi. 1996 Jan;38(1):17-22. Japanese. ,Sangyo Eiseigaku Zasshi.  1996,PubMed,citation,PMID:8909560,pubmed,8909560,create date:1996/01/01 | first author:Oda M
Chronic fatigue illness and Operation Desert Storm.,/pubmed/8871324,"Nicolson GL, Bruton DM Jr, Nicolson NL.",J Occup Environ Med. 1996 Jan;38(1):14-6. No abstract available. ,J Occup Environ Med.  1996,PubMed,citation,PMID:8871324,pubmed,8871324,create date:1996/01/01 | first author:Nicolson GL
Studies on fatigue of night duty workers at a newspaper office.,/pubmed/8857278,"Fujii M, Miyoshi T, Fukui T.",Ind Health. 1996;34(2):81-91.,Ind Health.  1996,PubMed,citation,PMID:8857278,pubmed,8857278,create date:1996/01/01 | first author:Fujii M
"Accumulation of VDT work-related visual fatigue assessed by visual evoked potential, near point distance and critical flicker fusion.",/pubmed/8857276,"Murata K, Araki S, Yokoyama K, Yamashita K, Okumatsu T, Sakou S.",Ind Health. 1996;34(2):61-9.,Ind Health.  1996,PubMed,citation,PMID:8857276,pubmed,8857276,create date:1996/01/01 | first author:Murata K
Managing fatigue in operational settings 2: An integrated approach.,/pubmed/8731493,"Rosekind MR, Gander PH, Gregory KB, Smith RM, Miller DL, Oyung R, Webbon LL, Johnson JM.",Behav Med. 1996 Winter;21(4):166-70. Review.,Behav Med.  1996,PubMed,citation,PMID:8731493,pubmed,8731493,create date:1996/01/01 | first author:Rosekind MR
Managing fatigue in operational settings. 1: Physiological considerations and countermeasures.,/pubmed/8731492,"Rosekind MR, Gander PH, Gregory KB, Smith RM, Miller DL, Oyung R, Webbon LL, Johnson JM.",Behav Med. 1996 Winter;21(4):157-65. Review.,Behav Med.  1996,PubMed,citation,PMID:8731492,pubmed,8731492,create date:1996/01/01 | first author:Rosekind MR
